,highest_education,employment_status,repayment_status,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,gender_female,gender_male,marital_status_divorced,marital_status_married,marital_status_single,marital_status_widowed,region_0,region_1,school_0,school_1,school_2,school_3,loan_purpose_0,loan_purpose_1,loan_purpose_2,repayment_info_source_0,repayment_info_source_1,repayment_info_source_2,repayment_info_source_3,repayment_method_0,repayment_method_1,repayment_method_2,over_under_milion_0,over_under_milion_1,discipline_0,discipline_1,discipline_2
0,3,2,0,0,1,0,3,1,1.0,0.9276965143028875,0.0,0.9214930754636025,1.0,0.008672123620855331,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,93939 Jason Lake,Apt. 337
1,0,0,2,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.014120532708229324,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,32305 Cohen Club,Suite 996
2,0,2,1,1,4,2,1,4,1.0,0.0,0.0,0.0,0.9849196448831501,0.015241223717639245,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,64283 Thomas Turnpike Apt. 780,Suite 097
3,3,2,1,2,1,0,0,1,0.9958598511841686,0.0,1.0,0.0,0.0,0.0011691907512300327,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,608 Thompson Motorway,Apt. 123
4,3,0,0,3,4,2,1,1,0.03532464734668645,0.9536031053730702,0.02038636997816025,0.0,0.023821830767112636,0.010987943697272459,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,4879 Melissa Grove,Suite 491
5,0,2,0,0,0,1,1,0,0.03445360820970095,0.9983179720478998,1.0,0.0,0.9424702030033266,0.010837736171992171,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,37745 Bailey Locks,Suite 317
6,0,0,1,1,1,0,1,1,0.9796399859649374,0.0,0.013646378359595345,0.0,0.0,0.014326238070467854,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,5650 Zuniga Shoal,Apt. 567
7,3,0,2,0,1,2,2,2,0.03482342205352201,0.9479731928399671,0.842930513142255,0.0,0.0,0.013937308931446762,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1814 Matthew Fall,Apt. 953
8,3,0,0,2,1,0,2,2,1.0,0.9870332090575915,0.013293328497709938,0.9961991613809582,0.0,0.010469842739983613,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,72126 Paige Village Apt. 235,Apt. 239
9,0,1,0,0,4,4,1,1,1.0,0.0,0.0,0.907430804965359,0.0,0.006554237936042099,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,315 Rice Locks,Apt. 317
